influenced,influences,link,name
,,https://en.wikipedia.org/wiki/Ferdinand_Alqui%C3%A9,Ferdinand Alquié
"[['Ray Brassier'], ['Iain Hamilton Grant'], ['Reza Negarestani'], ['Kodwo Eshun'], ['Mark Fisher (writer)'], ['Dark Enlightenment'], ['Kode9']]","[['Georges Bataille'], ['Gilles Deleuze'], ['Felix Guattari'], ['Friedrich Nietzsche'], ['Jean Baudrillard'], ['William S. Burroughs'], ['Georg Cantor'], ['William Gibson'], ['William Reich'], ['Karl Marx'], ['Arthur Schopenhauer'], ['Aleister Crowley'], ['Immanuel Kant'], ['Hans-Hermann Hoppe'], ['Curtis Yarvin'], ['H.P. Lovecraft'], ['Joseph Schumpeter']]",https://en.wikipedia.org/wiki/Nick_Land,Nick Land
,"[['Karl Marx'], ['Antonio Negri'], ['Giorgio Agamben'], ['Gilles Deleuze'], ['Félix Guattari'], ['Antonio Gramsci'], ['Michel Foucault']]",https://en.wikipedia.org/wiki/Michael_Hardt,Michael Hardt
"[['Gilles Deleuze'], ['Brian Massumi'], ['Antonio Negri'], ['Bryan Reynolds'], ['Michael Hardt']]","[['Sigmund Freud'], ['Karl Marx'], ['Friedrich Nietzsche'], ['Jacques Lacan'], ['Gilles Deleuze']]",https://en.wikipedia.org/wiki/F%C3%A9lix_Guattari,Félix Guattari
"[['Henk Oosterling (page does not exist)'], ['Marc Jongen'], ['Bruno Latour']]","[['Gaston Bachelard'], ['Dieter Claessens'], ['Gilles Deleuze'], ['Jacques Derrida'], ['Michel Foucault'], ['Gotthard Günther'], ['Martin Heidegger'], ['Friedrich Nietzsche'], ['Osho (Bhagwan Shree Rajneesh)'], ['Gabriel Tarde'], ['Jacob Taubes']]",https://en.wikipedia.org/wiki/Peter_Sloterdijk,Peter Sloterdijk
[['Daniel Ross (philosopher)']],"[['Sigmund Freud'], ['Friedrich Nietzsche'], ['Paul Valéry'], ['Edmund Husserl'], ['Martin Heidegger'], ['André Leroi-Gourhan'], ['Gilbert Simondon'], ['Jacques Derrida'], ['Gérard Granel'], ['Karl Marx']]",https://en.wikipedia.org/wiki/Bernard_Stiegler,Bernard Stiegler
,"[['Michel Foucault'], ['Gilles Deleuze'], ['Jacques Rancière']]",https://en.wikipedia.org/wiki/Michael_J._Shapiro,Michael J. Shapiro
,"[['Michel Serres'], ['Algirdas Julien Greimas'], ['Gabriel Tarde'], ['Gilles Deleuze'], [], ['Alfred North Whitehead'], [], ['Eric Voegelin'], []]",https://en.wikipedia.org/wiki/Bruno_Latour,Bruno Latour
,"[['Henri Bergson'], ['Gilles Deleuze'], ['Félix Guattari'], ['Alfred North Whitehead'], ['William James'], ['Isabelle Stengers'], ['Charles Sanders Peirce']]",https://en.wikipedia.org/wiki/Brian_Massumi,Brian Massumi
,"[['Gilles Deleuze'], ['Michel Foucault'], ['Félix Guattari'], ['Bruce Lee'], ['Jacques Derrida'], ['Marc Bolan'], ['Hélène Cixous'], ['Jean Baudrillard']]",https://en.wikipedia.org/wiki/Bryan_Reynolds,Bryan Reynolds
